SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Orange Line","Orange Line","Massachusetts Avenue ","Passenger Wait Time",172.062770210,2376.031648805
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Red Line","Red Line","Shawmut ","Passenger Wait Time",86.524299322,842.231494650
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,08,OTH,,"Headway / Schedule Adherence",195.000000000,359.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,110,OTH,,"Headway / Schedule Adherence",240.000000000,353.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,14,OTH,,"Headway / Schedule Adherence",93.000000000,167.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,217,OTH,,"Headway / Schedule Adherence",30.000000000,38.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,26,OTH,,"Headway / Schedule Adherence",110.000000000,169.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,30,OTH,,"Headway / Schedule Adherence",85.000000000,166.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,40,OTH,,"Headway / Schedule Adherence",93.000000000,147.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,71,KBR,,"Headway / Schedule Adherence",467.000000000,577.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,84,OTH,,"Headway / Schedule Adherence",77.000000000,95.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,88,OTH,,"Headway / Schedule Adherence",184.000000000,261.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,96,OTH,,"Headway / Schedule Adherence",181.000000000,254.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,SL1,SL,,"Headway / Schedule Adherence",329.000000000,356.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-C Line","Green Line","Arlington ","Passenger Wait Time",315.093791323,652.726066386
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-D Line","Green Line","Copley ","Passenger Wait Time",140.329233199,619.938915992
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-D Line","Green Line","Park Street ","Passenger Wait Time",38.717051266,57.115923492
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-E Line","Green Line","Brigham Circle ","Passenger Wait Time",40.980415678,280.206008181
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Orange Line","Orange Line","Haymarket ","Passenger Wait Time",209.923425298,1960.269373645
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Orange Line","Orange Line","Stony Brook ","Passenger Wait Time",87.478820544,1099.062647165
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Red Line","Red Line","Broadway ","Passenger Wait Time",180.588464768,1991.308235530
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Red Line","Red Line","JFK/UMASS Braintree ","Passenger Wait Time",65.458697689,1310.230000690
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Red Line","Red Line","Wollaston ","Passenger Wait Time",38.971344035,1419.499816533
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,101,OTH,,"Headway / Schedule Adherence",320.000000000,419.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,108,OTH,,"Headway / Schedule Adherence",205.000000000,263.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,109,OTH,,"Headway / Schedule Adherence",275.000000000,409.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,11,OTH,,"Headway / Schedule Adherence",224.000000000,397.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,136,OTH,,"Headway / Schedule Adherence",87.000000000,139.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,14,OTH,,"Headway / Schedule Adherence",96.000000000,182.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,21,OTH,,"Headway / Schedule Adherence",307.000000000,409.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,216,OTH,,"Headway / Schedule Adherence",166.000000000,219.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,220,OTH,,"Headway / Schedule Adherence",215.000000000,293.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,30,OTH,,"Headway / Schedule Adherence",166.000000000,233.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,39,KBR,,"Headway / Schedule Adherence",1094.000000000,1323.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,435,OTH,,"Headway / Schedule Adherence",91.000000000,122.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,442,OTH,,"Headway / Schedule Adherence",155.000000000,190.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,451,OTH,,"Headway / Schedule Adherence",12.000000000,27.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,52,OTH,,"Headway / Schedule Adherence",100.000000000,144.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,57,KBR,,"Headway / Schedule Adherence",882.000000000,1073.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,66,KBR,,"Headway / Schedule Adherence",773.000000000,1009.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,67,OTH,,"Headway / Schedule Adherence",66.000000000,90.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,75,OTH,,"Headway / Schedule Adherence",63.000000000,91.000000000
